Neighborhood,District,Latitude,Longitude
North Lawndale,North Lawndale,41.860032399999994,-87.71838829999999
North Park,North Park,41.98495475,-87.72293435387871
Big Oaks,Norwood Park,41.47054,-87.8768065
Norwood Park East,Norwood Park,41.9855895,-87.80057720132271
Norwood Park West,Norwood Park,41.9855895,-87.80057720132271
Old Norwood,Norwood Park,41.9862549,-87.8360038
Oriole Park,Norwood Park,41.9789798,-87.81532953658491
Union Ridge,Norwood Park,41.878682399999995,-87.64040777429742
O'Hare,O'Hare,41.97310105,-87.90676788547229
Schorsch Forest View,O'Hare,41.9472536,-87.77922629999999
Oakland,Oakland,41.8236535,-87.60824240000001
Portage Park,Portage Park,41.9578093,-87.7650594
Pullman,Pullman,41.692218200000006,-87.60660390000001
Altgeld Gardens,Riverdale,41.65486375,-87.6004393348106
Eden Green,Riverdale,41.8854222,-87.6712386
Golden Gate,Riverdale,41.65808835,-87.61153343590729
Riverdale,Riverdale,41.6678347,-87.60496440000001
Loyola,Rogers Park,42.0013525,-87.6613062
Rogers Park,Rogers Park,42.01053135,-87.6707481966481
Fernwood,Roseland,41.70397535,-87.6391008086238
Lilydale,Roseland,41.7242009,-87.625326
Princeton Park,Roseland,41.7262979,-87.6311389705345
Roseland,Roseland,41.7019787,-87.625881
Rosemoor,Roseland,41.7071223,-87.6072188
South Chicago,South Chicago,41.722813,-87.536434
South Deering,South Deering,41.896991799999995,-88.1867785
Little Village,South Lawndale,41.86898915,-87.6485625597018
South Lawndale,South Lawndale,41.8436437,-87.71255440000002
South Shore,South Shore,41.76265045,-87.5700927782457
The Loop,The Loop,41.881609399999995,-87.6294574
New Eastside,The Loop,42.0329734,-88.2487996
Printer's Row,The Loop,41.8737868,-87.6288996
South Loop,The Loop,41.8617846,-87.6261213
Buena Park,Uptown,41.9578099,-87.6528331
Clarendon Park,Uptown,41.96327455,-87.6488399065922
New Chinatown,Uptown,41.8516579,-87.63313829999998
Sheridan Park,Uptown,41.8710536,-87.6548066669314
Uptown,Uptown,41.9666299,-87.6555458
Brainerd,Washington Heights,41.732811600000005,-87.6583828
Longwood Manor,Washington Heights,41.6903981,-87.6721901
Washington Heights,Washington Heights,41.7064229,-87.65616
Washington Park,Washington Park,41.7925338,-87.6181052
West Elsdon,West Elsdon,41.7939217,-87.7244978
West Englewood,West Englewood,41.7780891,-87.6667177
West Garfield Park,West Garfield Park,41.880587799999994,-87.72922270000001
Ford City,West Lawn,41.75531965,-87.7369115083663
West Lawn,West Lawn,41.7728107,-87.722275
West Pullman,West Pullman,41.6750456,-87.637823
Nortown,West Ridge,41.9105303,-87.6606108
Peterson Park,West Ridge,41.9891652,-87.720430593769
Rosehill,West Ridge,41.9864564,-87.6811986354359
West Ridge,West Ridge,42.003548200000004,-87.69624259999999
West Rogers Park,West Ridge,42.01053135,-87.6707481966481
East Village,West Town,41.86898915,-87.6485625597018
 Noble Square,West Town,41.90188525,-87.6620284496952
Pulaski Park,West Town,41.90612025,-87.6633050255172
River West,West Town,41.792481099999996,-87.7452203
Smith Park,West Town,41.89278415,-87.6904479186798
Ukrainian Village,West Town,41.8963523,-87.6847499
West Town,West Town,41.901421299999996,-87.6861661
Wicker Park,West Town,41.9078018,-87.6781551
Woodlawn,Woodlawn,41.779478600000004,-87.59949300000001
West Woodlawn,Woodlawn,41.779478600000004,-87.59949300000001
Irving Woods,Dunning,41.9487,-87.8301
Lake View East,Lake View,41.9414,-87.6443
Sheffield Neighbors,Lincoln Park,41.9218,-87.6574
Wrightwood Neighbors,Lincoln Park,41.9286,-87.6564
Budlong Woods,Lincoln Square,41.9794,-87.6964
Beverly Woods,Morgan Park,41.681000000000004,-87.6831
Talley's Corner,Mount Greenswood,41.9039,-87.6513
Old Town,Near North Side,41.9077,-87.6374
Fulton River District,Near West Side,41.8895,-87.6434
Saint Ben's,North Center,41.9525,-87.6839
Hollywood Park,North Park,41.9868,-87.7233
Cottage Grove Heights,Pullman,41.7181,-87.5964
Kensington,Roseland,41.6857,-87.6123
Marshall Square,South Lawndale,41.8519,-87.6926
Jackson Park Highlands,South Shore,41.7688,-87.5779
Margate Park,Uptown,41.9721,-87.6498
Polish Downtown,West Town,41.9036,-87.6671
